round,stadium,home_team,home_score,away_score,away_team,year
1,Brinco de Ouro,Guarani,4.0,2.0,Vasco,2003
1,Ligga Arena,Athletico-PR,2.0,0.0,Grêmio,2003
1,Alfredo Jaconi,Juventude,2.0,2.0,São Paulo,2003
1,Mineirão,Cruzeiro,2.0,2.0,São Caetano,2003
1,Maracanã,Flamengo,1.0,1.0,Coritiba,2003
1,Heriberto Hülse,Criciúma,2.0,0.0,Fluminense,2003
1,Beira-Rio,Internacional,1.0,1.0,Ponte Preta,2003
1,Serra Dourada,Goiás,2.0,2.0,Paysandu,2003
1,Castelão (CE),Fortaleza,0.0,0.0,Bahia,2003
1,Barradão,Vitória,1.0,1.0,Figueirense,2003
1,Pacaembu,Corinthians,0.0,3.0,Atlético-MG,2003
1,Vila Belmiro,Santos,2.0,2.0,Paraná,2003
2,Mineirão,Atlético-MG,0.0,0.0,Santos,2003
2,Couto Pereira,Coritiba,0.0,1.0,Internacional,2003
2,Maracanã,Fluminense,1.0,1.0,Fortaleza,2003
2,Olímpico,Grêmio,3.0,1.0,Guarani,2003
2,Itaipava Arena Fonte Nova,Bahia,1.0,2.0,Flamengo,2003
2,Orlando Scarpelli,Figueirense,3.0,3.0,Corinthians,2003
2,Mangueirão,Paysandu,1.0,2.0,Vitória,2003
2,Moisés Lucarelli,Ponte Preta,1.0,0.0,Juventude,2003
2,Anacleto Campanella,São Caetano,3.0,2.0,Criciúma,2003
2,Pinheirão (PR),Paraná,3.0,0.0,Athletico-PR,2003
2,São Januário,Vasco,6.0,4.0,Goiás,2003
2,Morumbi,São Paulo,2.0,4.0,Cruzeiro,2003
3,Beira-Rio,Internacional,2.0,0.0,Bahia,2003
3,Ligga Arena,Athletico-PR,1.0,2.0,Atlético-MG,2003
3,Vila Belmiro,Santos,2.0,0.0,Figueirense,2003
3,Pacaembu,Corinthians,6.0,1.0,Paysandu,2003
3,Barradão,Vitória,2.0,1.0,Vasco,2003
3,Heriberto Hülse,Criciúma,1.0,1.0,São Paulo,2003
3,Presidente Vargas (CE),Fortaleza,1.0,1.0,São Caetano,2003
3,Alfredo Jaconi,Juventude,2.0,1.0,Coritiba,2003
3,Brinco de Ouro,Guarani,2.0,0.0,Paraná,2003
3,Serra Dourada,Goiás,1.0,1.0,Grêmio,2003
3,Mineirão,Cruzeiro,3.0,0.0,Ponte Preta,2003
3,Maracanã,Flamengo,4.0,1.0,Fluminense,2003
4,Mangueirão,Paysandu,2.0,1.0,Santos,2003
4,Itaipava Arena Fonte Nova,Bahia,3.0,1.0,Juventude,2003
4,Olímpico,Grêmio,2.0,1.0,Vitória,2003
4,Mineirão,Atlético-MG,3.0,2.0,Guarani,2003
4,Orlando Scarpelli,Figueirense,1.0,1.0,Athletico-PR,2003
4,Moisés Lucarelli,Ponte Preta,1.0,1.0,Criciúma,2003
